chrom	length	bases	mean	min	max
chromosome1	230218	18185072	78.99	0	871
chromosome1_region	230218	18185072	78.99	0	871
chromosome2	813184	61981916	76.22	0	385
chromosome2_region	813184	61981916	76.22	0	385
chromosome3	316620	25368249	80.12	0	511
chromosome3_region	316620	25368249	80.12	0	511
chromosome4	1531933	109807594	71.68	0	911
chromosome4_region	1531933	109807594	71.68	0	911
chromosome5	576874	44723688	77.53	0	223
chromosome5_region	576874	44723688	77.53	0	223
chromosome6	270161	21466880	79.46	0	121
chromosome6_region	270161	21466880	79.46	0	121
chromosome7	1090940	79979229	73.31	0	825
chromosome7_region	1090940	79979229	73.31	0	825
chromosome8	562643	43478251	77.28	0	397
chromosome8_region	562643	43478251	77.28	0	397
chromosome9	439888	37910360	86.18	0	490
chromosome9_region	439888	37910360	86.18	0	490
chromosome10	745751	55886847	74.94	0	402
chromosome10_region	745751	55886847	74.94	0	402
chromosome11	666816	46034804	69.04	0	100
chromosome11_region	666816	46034804	69.04	0	100
chromosome12	1078177	94026557	87.21	0	2662
chromosome12_region	1078177	94026557	87.21	0	2662
chromosome13	924431	67390677	72.90	0	851
chromosome13_region	924431	67390677	72.90	0	851
chromosome14	784333	58829253	75.01	0	219
chromosome14_region	784333	58829253	75.01	0	219
chromosome15	1091291	79243794	72.61	0	315
chromosome15_region	1091291	79243794	72.61	0	315
chromosome16	948066	66880007	70.54	0	231
chromosome16_region	948066	66880007	70.54	0	231
total	12071326	911193178	75.48	0	2662
total_region	12071326	911193178	75.48	0	2662
