chrom	length	bases	mean	min	max
chromosome1	230218	100196270	435.22	0	3643
chromosome1_region	230218	100196270	435.22	0	3643
chromosome2	813184	360159781	442.90	1	2648
chromosome2_region	813184	360159781	442.90	1	2648
chromosome3	316620	136369117	430.70	2	2056
chromosome3_region	316620	136369117	430.70	2	2056
chromosome4	1531933	614684173	401.25	4	3750
chromosome4_region	1531933	614684173	401.25	4	3750
chromosome5	576874	251930351	436.72	19	1399
chromosome5_region	576874	251930351	436.72	19	1399
chromosome6	270161	130610297	483.45	2	717
chromosome6_region	270161	130610297	483.45	2	717
chromosome7	1090940	444866838	407.78	0	2694
chromosome7_region	1090940	444866838	407.78	0	2694
chromosome8	562643	254085005	451.59	1	1865
chromosome8_region	562643	254085005	451.59	1	1865
chromosome9	439888	202579800	460.53	0	1697
chromosome9_region	439888	202579800	460.53	0	1697
chromosome10	745751	305281435	409.36	6	1630
chromosome10_region	745751	305281435	409.36	6	1630
chromosome11	666816	268847136	403.18	1	596
chromosome11_region	666816	268847136	403.18	1	596
chromosome12	1078177	661006869	613.08	0	24935
chromosome12_region	1078177	661006869	613.08	0	24935
chromosome13	924431	381660914	412.86	0	3305
chromosome13_region	924431	381660914	412.86	0	3305
chromosome14	784333	339885925	433.34	1	1033
chromosome14_region	784333	339885925	433.34	1	1033
chromosome15	1091291	458757940	420.38	4	1277
chromosome15_region	1091291	458757940	420.38	4	1277
chromosome16	948066	411063335	433.58	11	1574
chromosome16_region	948066	411063335	433.58	11	1574
total	12071326	5321985186	440.88	0	24935
total_region	12071326	5321985186	440.88	0	24935
