#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chromosome1	1	230218	18882	230217	99.9996	435.223	35.6	48.9
chromosome2	1	813184	52891	813184	100	442.901	35.7	57.9
chromosome3	1	316620	22693	316620	100	430.703	35.6	55
chromosome4	1	1531933	93921	1531933	100	401.247	35.8	53.9
chromosome5	1	576874	38149	576874	100	436.716	35.8	57.9
chromosome6	1	270161	18860	270161	100	483.454	35.8	58.2
chromosome7	1	1090940	67428	1090939	99.9999	407.783	35.8	56.5
chromosome8	1	562643	37457	562643	100	451.592	35.7	56.6
chromosome9	1	439888	32070	439887	99.9998	460.526	35.8	54.4
chromosome10	1	745751	44821	745751	100	409.361	35.8	56.1
chromosome11	1	666816	37638	666816	100	403.18	35.8	59.6
chromosome12	1	1078177	104784	1077733	99.9588	613.078	35.3	46.1
chromosome13	1	924431	56834	924430	99.9999	412.86	35.9	55.4
chromosome14	1	784333	49497	784333	100	433.344	35.8	57.2
chromosome15	1	1091291	65489	1091291	100	420.381	35.8	57.8
chromosome16	1	948066	58360	948066	100	433.581	35.7	56.9
