#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chromosome1	1	230218	5678	214573	93.2043	141.657	35.7	55.1
chromosome2	1	813184	13410	795359	97.808	118.357	35.8	58.9
chromosome3	1	316620	6478	308908	97.5643	134.883	35.6	55.7
chromosome4	1	1531933	25933	1484029	96.873	106.106	35.8	51.6
chromosome5	1	576874	9777	560751	97.2051	118.664	35.8	57.1
chromosome6	1	270161	4946	249726	92.436	133.098	35.9	59.4
chromosome7	1	1090940	17123	1054855	96.6923	107.466	35.8	55.7
chromosome8	1	562643	10004	536561	95.3644	124.253	35.8	56.5
chromosome9	1	439888	7686	419863	95.4477	128.188	35.7	58.4
chromosome10	1	745751	11864	722181	96.8394	114.5	35.8	59.2
chromosome11	1	666816	10265	665520	99.8056	113.696	35.9	59.3
chromosome12	1	1078177	19499	1010833	93.7539	114.316	35.4	47.3
chromosome13	1	924431	14568	908692	98.2974	112.256	35.9	57.3
chromosome14	1	784333	13525	766842	97.77	120.883	35.8	57.9
chromosome15	1	1091291	17408	1059701	97.1053	116.194	35.8	58.3
chromosome16	1	948066	14249	920147	97.0552	110.611	35.7	58.9
