chrom	length	bases	mean	min	max
chromosome1	230218	28407219	123.39	0	2017
chromosome1_region	230218	28407219	123.39	0	2017
chromosome2	813184	96970736	119.25	0	675
chromosome2_region	813184	96970736	119.25	0	675
chromosome3	316620	41603670	131.40	0	1418
chromosome3_region	316620	41603670	131.40	0	1418
chromosome4	1531933	159536034	104.14	0	2091
chromosome4_region	1531933	159536034	104.14	0	2091
chromosome5	576874	65681041	113.86	0	216
chromosome5_region	576874	65681041	113.86	0	216
chromosome6	270161	33513503	124.05	0	197
chromosome6_region	270161	33513503	124.05	0	197
chromosome7	1090940	116359789	106.66	0	1591
chromosome7_region	1090940	116359789	106.66	0	1591
chromosome8	562643	64967379	115.47	0	746
chromosome8_region	562643	64967379	115.47	0	746
chromosome9	439888	57711851	131.20	0	1148
chromosome9_region	439888	57711851	131.20	0	1148
chromosome10	745751	84777655	113.68	0	979
chromosome10_region	745751	84777655	113.68	0	979
chromosome11	666816	73539025	110.28	0	170
chromosome11_region	666816	73539025	110.28	0	170
chromosome12	1078177	188474081	174.81	0	6491
chromosome12_region	1078177	188474081	174.81	0	6491
chromosome13	924431	101412396	109.70	0	1868
chromosome13_region	924431	101412396	109.70	0	1868
chromosome14	784333	95816781	122.16	0	563
chromosome14_region	784333	95816781	122.16	0	563
chromosome15	1091291	123012978	112.72	0	217
chromosome15_region	1091291	123012978	112.72	0	217
chromosome16	948066	104364037	110.08	0	355
chromosome16_region	948066	104364037	110.08	0	355
total	12071326	1436148175	118.97	0	6491
total_region	12071326	1436148175	118.97	0	6491
