#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chromosome1	1	230218	3910	223121	96.9173	78.9907	36	46.8
chromosome2	1	813184	9249	802869	98.7315	76.2213	35.7	57.8
chromosome3	1	316620	4285	310241	97.9853	80.1221	35.6	56.1
chromosome4	1	1531933	17019	1502927	98.1066	71.6791	35.9	54.6
chromosome5	1	576874	6545	566341	98.1741	77.5277	35.9	58.6
chromosome6	1	270161	3062	263436	97.5107	79.4596	35.9	58.8
chromosome7	1	1090940	12457	1062577	97.4001	73.3122	35.8	55.5
chromosome8	1	562643	6623	548195	97.4321	77.275	35.6	54.7
chromosome9	1	439888	6198	438767	99.7452	86.1818	35.7	50.1
chromosome10	1	745751	8904	733436	98.3486	74.9404	35.9	52.7
chromosome11	1	666816	6521	664237	99.6132	69.0367	35.8	59.8
chromosome12	1	1078177	15771	1024461	95.0179	87.2088	35.5	46.4
chromosome13	1	924431	10418	907145	98.1301	72.8996	35.8	55
chromosome14	1	784333	8652	766416	97.7156	75.0055	35.8	57.7
chromosome15	1	1091291	11480	1074300	98.443	72.6147	35.8	57.7
chromosome16	1	948066	9544	916617	96.6828	70.5436	35.7	59.2
